antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_names,consequent_names
"frozenset({'SKU101', 'SKU00060'})","frozenset({'SKU00086', 'SKU00084'})",0.036407686435896584,0.0699943579701968,0.02558826457800936,0.7028258887876025,10.041179163138574,1.0,0.023039931940748534,3.129497513210718,0.9344305575993154,0.31663244353182757,0.6804598834865196,0.5342009956029051,"['Rajnigandha 17g Zipper IC ', 'Rajnigandha 4g ']","['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)']"
"frozenset({'SKU00086', 'SKU00084'})","frozenset({'SKU101', 'SKU00060'})",0.0699943579701968,0.036407686435896584,0.02558826457800936,0.3655761024182077,10.041179163138574,1.0,0.023039931940748534,1.5188461803487998,0.9681770326649961,0.31663244353182757,0.34160548122763024,0.5342009956029051,"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)']","['Rajnigandha 17g Zipper IC ', 'Rajnigandha 4g ']"
"frozenset({'SKU101', 'SKU00086'})","frozenset({'SKU00084', 'SKU00060'})",0.03617536756164747,0.07112276393083536,0.02558826457800936,0.7073394495412844,9.945331289840615,1.0,0.023015372450811106,3.1739065433084304,0.9332095046446031,0.3131600324939074,0.6849308615881249,0.533557732236811,"['Rajnigandha 17g Zipper IC ', 'TZ 00 (with Silver) 0.45g']","['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']"
"frozenset({'SKU00084', 'SKU00060'})","frozenset({'SKU101', 'SKU00086'})",0.07112276393083536,0.03617536756164747,0.02558826457800936,0.3597760149323378,9.945331289840615,1.0,0.023015372450811106,1.5054491161190884,0.9683198951116163,0.3131600324939074,0.33574639667801626,0.533557732236811,"['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']","['Rajnigandha 17g Zipper IC ', 'TZ 00 (with Silver) 0.45g']"
"frozenset({'SKU00086', 'SKU00033'})","frozenset({'SKU00084', 'SKU00060'})",0.022800438087020012,0.07112276393083536,0.013175799010985364,0.5778748180494906,8.125033197689781,1.0,0.011554168835402612,2.2004781419983317,0.8973843357856113,0.1631730374023839,0.5455533136576104,0.3815645672141993,"['TZ 00 (with Silver) 0.45g', 'Rajnigandha 100g ']","['TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']"
frozenset({'SKU613'}),frozenset({'SKU612'}),0.048189572201387275,0.040523049351166573,0.015830871859546645,0.32851239669421484,8.106803460109244,1.0,0.013878083447018224,1.428882597273955,0.9210309035537805,0.21721311475409835,0.30015243946016557,0.35958789367880273,['Center Fresh'],['Center Fruit']
frozenset({'SKU612'}),frozenset({'SKU613'}),0.040523049351166573,0.048189572201387275,0.015830871859546645,0.3906633906633906,8.106803460109244,1.0,0.013878083447018224,1.5620437262662714,0.9136715767215104,0.21721311475409835,0.3598130556880862,0.35958789367880273,['Center Fruit'],['Center Fresh']
"frozenset({'SKU00060', 'SKU00033'})","frozenset({'SKU00086', 'SKU00084'})",0.023364641067339285,0.0699943579701968,0.013175799010985364,0.5639204545454546,8.056655863399286,1.0,0.011540405960272856,2.132651374556943,0.8968332086598788,0.16432119205298015,0.5311001076264753,0.37608066349842667,"['Rajnigandha 4g ', 'Rajnigandha 100g ']","['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)']"
"frozenset({'SKU00086', 'SKU00084', 'SKU00060'})",frozenset({'SKU101'}),0.06899870565198632,0.06325711061697255,0.02558826457800936,0.3708513708513709,5.8626037015333985,1.0,0.02122360582215373,1.4889055558312798,0.8908981430262086,0.23988799004355943,0.32836572737369907,0.3876817190038596,"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']",['Rajnigandha 17g Zipper IC ']
frozenset({'SKU101'}),"frozenset({'SKU00086', 'SKU00084', 'SKU00060'})",0.06325711061697255,0.06899870565198632,0.02558826457800936,0.4045120671563484,5.8626037015333985,1.0,0.02122360582215373,1.563425962138603,0.8854375450193519,0.23988799004355943,0.3603790494612838,0.3876817190038596,['Rajnigandha 17g Zipper IC '],"['TZ 00 (with Silver) 0.45g', 'TZ 00 4.25g (6 Pcs)', 'Rajnigandha 4g ']"
